Texas,Taylor,"46,240","48,691","52,429",74,5.3,7.7,50
Texas,Terrell,"47,154","50,578","61,631",31,7.3,21.9,1
Texas,Terry,"35,316","38,016","41,634",195,7.6,9.5,30
Texas,Throckmorton,"38,958","42,233","44,582",164,8.4,5.6,106
Texas,Titus,"36,267","37,964","41,207",202,4.7,8.5,38
Texas,Tom Green,"48,373","51,613","52,947",69,6.7,2.6,191
Texas,Travis,"70,141","71,633","74,032",9,2.1,3.3,169
Texas,Trinity,"35,801","37,399","39,206",223,4.5,4.8,125
Texas,Tyler,"32,061","33,629","36,694",236,4.9,9.1,34
Texas,Upshur,"37,300","38,084","39,674",219,2.1,4.2,147
Texas,Upton,"45,581","47,785","50,428",82,4.8,5.5,108
Texas,Uvalde,"40,222","42,217","45,255",151,5.0,7.2,60
Texas,Val Verde,"36,051","38,543","41,079",206,6.9,6.6,76
Texas,Van Zandt,"38,799","40,099","42,656",186,3.4,6.4,82
Texas,Victoria,"47,834","52,632","53,881",63,10.0,2.4,198
Texas,Walker,"29,144","31,115","32,334",247,6.8,3.9,155
Texas,Waller,"41,621","42,974","44,779",160,3.3,4.2,143
Texas,Ward,"50,352","54,632","48,109",111,8.5,-11.9,254
Texas,Washington,"55,236","57,635","58,426",42,4.3,1.4,208
Texas,Webb,"31,907","33,305","35,626",238,4.4,7.0,65
Texas,Wharton,"43,674","46,427","48,384",107,6.3,4.2,141
Texas,Wheeler,"44,291","44,936","48,691",101,1.5,8.4,40
Texas,Wichita,"42,837","44,206","46,322",135,3.2,4.8,128
Texas,Wilbarger,"45,843","50,096","49,537",91,9.3,-1.1,228
Texas,Willacy,"27,109","28,083","31,710",250,3.6,12.9,11
Texas,Williamson,"52,030","53,713","56,693",48,3.2,5.5,107
Texas,Wilson,"46,283","48,249","49,745",89,4.2,3.1,178
Texas,Winkler,"61,309","65,720","62,259",29,7.2,-5.3,245
Texas,Wise,"44,136","45,745","48,435",105,3.6,5.9,96
Texas,Wood,"39,038","40,596","42,978",179,4.0,5.9,97
Texas,Yoakum,"43,435","44,486","44,395",166,2.4,-0.2,224
Texas,Young,"51,210","51,824","53,227",67,1.2,2.7,188
Texas,Zapata,"28,727","29,004","28,981",253,1.0,-0.1,222
Texas,Zavala,"29,021","30,947","33,303",246,6.6,7.6,51
Utah,Beaver,"35,149","39,246","41,667",21,11.7,6.2,20
Utah,Box Elder,"37,853","40,330","44,131",15,6.5,9.4,7
Utah,Cache,"39,707","42,075","44,947",13,6.0,6.8,15
Utah,Carbon,"38,356","40,207","42,459",19,4.8,5.6,22
Utah,Daggett,"42,613","47,457","48,761",7,11.4,2.7,29
Utah,Davis,"46,123","48,778","51,852",6,5.8,6.3,19
Utah,Duchesne,"36,025","38,574","40,780",23,7.1,5.7,21
Utah,Emery,"33,387","34,753","38,057",25,4.1,9.5,6
Utah,Garfield,"37,368","39,502","44,411",14,5.7,12.4,1
Utah,Grand,"55,584","58,620","60,928",3,5.5,3.9,26
Utah,Iron,"32,163","34,048","36,412",26,5.9,6.9,14
Utah,Juab,"37,396","38,699","42,531",18,3.5,9.9,4
Utah,Kane,"40,315","41,604","45,074",12,3.2,8.3,10
Utah,Millard,"35,320","37,507","41,843",20,6.2,11.6,3
Utah,Morgan,"53,152","56,156","58,631",5,5.7,4.4,24
Utah,Piute,"43,381","45,577","48,595",8,5.1,6.6,16
Utah,Rich,"36,973","39,387","42,762",17,6.5,8.6,9
Utah,Salt Lake,"52,130","55,481","59,077",4,6.4,6.5,18
Utah,San Juan,"26,283","28,142","30,198",29,7.1,7.3,13
Utah,Sanpete,"29,053","29,974","32,927",28,3.2,9.9,5
Utah,Sevier,"34,836","36,419","39,383",24,4.5,8.1,11
Utah,Summit,"144,148","152,310","156,537",1,5.7,2.8,28
Utah,Tooele,"36,832","37,978","41,301",22,3.1,8.7,8
Utah,Uintah,"31,244","31,965","32,945",27,2.3,3.1,27
Utah,Utah,"40,961","43,611","46,465",10,6.5,6.5,17
Utah,Wasatch,"56,575","59,263","61,653",2,4.8,4.0,25
Utah,Washington,"39,964","41,869","43,782",16,4.8,4.6,23
Utah,Wayne,"39,667","41,350","46,145",11,4.2,11.6,2
Utah,Weber,"41,132","43,477","46,675",9,5.7,7.4,12
Vermont,Addison,"50,772","52,605","55,981",9,3.6,6.4,12
Vermont,Bennington,"53,174","55,291","59,131",6,4.0,6.9,10
Vermont,Caledonia,"41,136","43,778","48,094",13,6.4,9.9,1
Vermont,Chittenden,"59,820","61,569","64,605",2,2.9,4.9,14
Vermont,Essex,"37,634","40,355","44,173",14,7.2,9.5,3
Vermont,Franklin,"46,493","48,688","52,181",11,4.7,7.2,9
Vermont,Grand Isle,"58,689","60,524","64,231",3,3.1,6.1,13
Vermont,Lamoille,"53,113","55,022","59,635",5,3.6,8.4,4
Vermont,Orange,"47,509","49,449","53,146",10,4.1,7.5,7
Vermont,Orleans,"43,816","45,535","49,998",12,3.9,9.8,2
Vermont,Rutland,"51,465","53,373","57,283",7,3.7,7.3,8
Vermont,Washington,"59,271","60,228","64,997",1,1.6,7.9,6
Vermont,Windham,"50,364","52,380","56,610",8,4.0,8.1,5
Vermont,Windsor,"57,640","59,713","63,786",4,3.6,6.8,11
Virginia,Accomack,"46,445","49,695","53,762",35,7.0,8.2,35
Virginia,Amelia,"42,496","43,865","46,780",53,3.2,6.6,60
Virginia,Amherst,"36,613","37,560","40,293",83,2.6,7.3,46
Virginia,Appomattox,"38,149","39,084","41,750",76,2.5,6.8,56
Virginia,Arlington,"95,012","98,116","100,823",2,3.3,2.8,103
Virginia,Bath,"61,741","65,682","70,050",10,6.4,6.7,59
Virginia,Bedford,"46,031","46,857","49,457",45,1.8,5.5,78
Virginia,Bland,"36,258","36,933","39,609",86,1.9,7.2,48
Virginia,Botetourt,"49,935","51,018","53,767",34,2.2,5.4,83
Virginia,Brunswick,"31,633","33,056","36,499",94,4.5,10.4,8
Virginia,Buchanan,"34,726","36,758","38,969",89,5.9,6.0,72
Virginia,Buckingham,"29,430","30,438","33,425",104,3.4,9.8,13
Virginia,Caroline,"42,078","43,694","46,682",55,3.8,6.8,55
Virginia,Charles City,"45,639","47,753","51,498",40,4.6,7.8,40
Virginia,Charlotte,"34,668","35,669","38,547",92,2.9,8.1,36
Virginia,Chesterfield,"53,458","55,063","58,069",25,3.0,5.5,82
Virginia,Clarke,"64,325","66,713","69,117",12,3.7,3.6,100
Virginia,Craig,"38,154","38,810","41,988",75,1.7,8.2,34
Virginia,Culpeper,"46,323","47,386","50,509",42,2.3,6.6,61
Virginia,Cumberland,"36,748","38,161","41,225",78,3.8,8.0,38
Virginia,Dickenson,"31,639","33,524","37,046",93,6.0,10.5,6
Virginia,Essex,"41,299","42,746","46,657",56,3.5,9.1,22
Virginia,Fauquier,"69,905","71,927","74,801",8,2.9,4.0,98
Virginia,Floyd,"38,387","39,255","42,304",73,2.3,7.8,42
Virginia,Fluvanna,"44,742","45,666","48,440",49,2.1,6.1,71
Virginia,Franklin,"40,512","41,866","44,821",63,3.3,7.1,52
Virginia,Giles,"39,273","40,450","43,561",65,3.0,7.7,44
Virginia,Gloucester,"48,634","50,250","53,341",37,3.3,6.2,67
Virginia,Goochland,"99,291","104,052","105,619",1,4.8,1.5,105
Virginia,Grayson,"31,234","32,061","35,093",101,2.6,9.5,16
Virginia,Greene,"45,048","46,025","48,573",48,2.2,5.5,79
Virginia,Halifax,"35,511","37,140","40,542",82,4.6,9.2,21
Virginia,Hanover,"60,063","62,141","64,704",14,3.5,4.1,96
Virginia,Henrico,"65,413","67,592","69,872",11,3.3,3.4,102
Virginia,Highland,"42,035","44,185","46,315",57,5.1,4.8,89
Virginia,Isle of Wight,"54,012","55,930","59,285",21,3.6,6.0,73
Virginia,King and Queen,"42,705","44,565","48,888",46,4.4,9.7,15
Virginia,King George,"52,859","55,158","57,377",26,4.3,4.0,97
Virginia,King William,"46,352","48,001","50,951",41,3.6,6.1,68
Virginia,Lancaster,"58,003","60,635","63,885",15,4.5,5.4,84
Virginia,Lee,"28,954","29,704","33,056",105,2.6,11.3,3
Virginia,Loudoun,"79,280","80,535","84,374",5,1.6,4.8,90
Virginia,Louisa,"43,445","43,618","46,040",59,0.4,5.6,77
Virginia,Lunenburg,"31,847","32,890","35,793",100,3.3,8.8,28
Virginia,Madison,"46,745","48,601","51,608",39,4.0,6.2,66
Virginia,Mathews,"54,772","56,574","59,026",23,3.3,4.3,95
Virginia,Mecklenburg,"36,175","37,241","40,693",81,2.9,9.3,19
Virginia,Middlesex,"50,365","52,833","55,466",30,4.9,5.0,87
Virginia,Nelson,"50,287","52,216","55,869",28,3.8,7.0,53
Virginia,New Kent,"73,715","74,471","77,957",6,1.0,4.7,92
Virginia,Northampton,"52,920","55,940","62,614",17,5.7,11.9,2
Virginia,Northumberland,"50,817","54,276","57,093",27,6.8,5.2,86
Virginia,Nottoway,"33,723","35,445","38,594",91,5.1,8.9,26
Virginia,Orange,"49,109","50,587","53,217",38,3.0,5.2,85
Virginia,Page,"37,712","39,043","42,307",72,3.5,8.4,33
Virginia,Patrick,"32,942","33,528","36,426",96,1.8,8.6,32
Virginia,Powhatan,"57,247","58,652","61,547",18,2.5,4.9,88
Virginia,Prince Edward,"30,640","31,621","33,868",103,3.2,7.1,51
Virginia,Pulaski,"39,556","40,025","43,583",64,1.2,8.9,25
Virginia,Rappahannock,"65,434","68,110","70,807",9,4.1,4.0,99
Virginia,Richmond,"37,026","37,057","40,791",80,0.1,10.1,10
Virginia,Russell,"32,660","33,513","36,423",97,2.6,8.7,31
Virginia,Scott,"32,915","33,450","35,882",99,1.6,7.3,47
Virginia,Shenandoah,"44,352","46,333","49,948",44,4.5,7.8,41
Virginia,Smyth,"35,959","36,800","40,220",84,2.3,9.3,18
Virginia,Stafford,"54,787","55,494","58,635",24,1.3,5.7,75
Virginia,Surry,"43,803","44,042","47,927",50,0.5,8.8,29
Virginia,Sussex,"30,278","32,099","35,062",102,6.0,9.2,20
Virginia,Tazewell,"36,981","37,462","39,795",85,1.3,6.2,65
Virginia,Warren,"45,672","47,315","50,504",43,3.6,6.7,58
Virginia,Westmoreland,"43,390","45,092","48,577",47,3.9,7.7,43
Virginia,Wythe,"34,762","35,644","39,116",88,2.5,9.7,14
Virginia,Independent cities:,,,,,,,
Virginia,Alexandria,"87,761","89,884","93,835",3,2.4,4.4,94
Virginia,Chesapeake,"48,890","50,008","53,622",36,2.3,7.2,49
Virginia,Hampton,"41,191","42,305","46,165",58,2.7,9.1,23
Virginia,Newport News,"40,345","41,547","45,781",60,3.0,10.2,9
Virginia,Norfolk,"38,262","39,453","42,996",70,3.1,9.0,24
Virginia,Portsmouth,"38,623","40,782","44,871",62,5.6,10.0,11
Virginia,Richmond,"52,839","55,191","59,148",22,4.5,7.2,50
Virginia,Roanoke,"42,171","42,486","46,727",54,0.7,10.0,12
Virginia,Suffolk,"50,591","52,030","55,561",29,2.8,6.8,57
Virginia,Virginia Beach,"55,963","57,513","60,796",19,2.8,5.7,74
Virginia,Combination areas3:,,,,,,,
Virginia,Albemarle + Charlottesville,"74,603","75,885","77,606",7,1.7,2.3,104
Virginia,Alleghany + Covington,"38,939","40,015","43,230",69,2.8,8.0,37
Virginia,"Augusta, Staunton + Waynesboro","43,388","44,917","47,794",51,3.5,6.4,64
Virginia,Campbell + Lynchburg,"36,870","37,702","41,030",79,2.3,8.8,27
Virginia,Carroll + Galax,"35,078","35,549","38,908",90,1.3,9.4,17
Virginia,"Dinwiddie, Colonial Heights + Petersburg","39,061","40,661","44,938",61,4.1,10.5,5
Virginia,"Fairfax, Fairfax City + Falls Church","82,888","86,031","88,971",4,3.8,3.4,101
Virginia,Frederick + Winchester,"50,271","51,907","54,832",33,3.3,5.6,76
Virginia,Greensville + Emporia,"31,217","32,485","36,450",95,4.1,12.2,1
Virginia,Henry + Martinsville,"37,923","39,183","43,380",67,3.3,10.7,4
Virginia,James City + Williamsburg,"63,189","65,176","68,279",13,3.1,4.8,91
Virginia,Montgomery + Radford,"36,906","37,377","39,442",87,1.3,5.5,81
Virginia,Pittsylvania + Danville,"36,858","38,117","42,121",74,3.4,10.5,7
Virginia,Prince George + Hopewell,"37,053","38,845","41,732",77,4.8,7.4,45
Virginia,"Prince William, Manassas + Manassas Park","54,733","56,181","59,812",20,2.6,6.5,63
Virginia,Roanoke + Salem,"51,078","52,094","54,977",32,2.0,5.5,80
Virginia,"Rockbridge, Buena Vista + Lexington","39,023","41,029","43,534",66,5.1,6.1,70
Virginia,Rockingham + Harrisonburg,"39,471","40,413","43,232",68,2.4,7.0,54
Virginia,Southampton + Franklin,"40,813","43,430","46,909",52,6.4,8.0,39
Virginia,Spotsylvania + Fredericksburg,"50,610","51,896","55,077",31,2.5,6.1,69
Virginia,Washington + Bristol,"39,541","40,164","42,796",71,1.6,6.6,62
Virginia,Wise + Norton,"31,879","33,052","35,929",98,3.7,8.7,30
Virginia,York + Poquoson,"58,119","59,892","62,645",16,3.1,4.6,93
Washington,Adams,"38,717","41,969","49,618",21,8.4,18.2,2
Washington,Asotin,"44,541","46,165","49,273",23,3.6,6.7,28
Washington,Benton,"46,157","48,285","51,757",17,4.6,7.2,21
Washington,Chelan,"52,696","55,520","60,518",5,5.4,9.0,12
Washington,Clallam,"44,673","46,524","49,718",20,4.1,6.9,26
Washington,Clark,"53,180","54,930","57,863",8,3.3,5.3,35
Washington,Columbia,"45,495","55,286","57,249",10,21.5,3.6,38
Washington,Cowlitz,"43,407","45,124","48,232",26,4.0,6.9,25
Washington,Douglas,"39,669","40,798","45,305",32,2.8,11.0,8
Washington,Ferry,"34,681","35,826","39,899",39,3.3,11.4,7
Washington,Franklin,"36,877","39,104","43,271",37,6.0,10.7,10
Washington,Garfield,"44,496","50,454","57,967",7,13.4,14.9,3
Washington,Grant,"38,002","40,216","48,468",25,5.8,20.5,1
Washington,Grays Harbor,"39,056","40,319","43,710",36,3.2,8.4,13
Washington,Island,"53,427","55,908","59,200",6,4.6,5.9,33
Washington,Jefferson,"51,582","53,765","56,585",11,4.2,5.2,36
Washington,King,"88,308","92,026","96,647",1,4.2,5.0,37
Washington,Kitsap,"54,597","57,197","60,704",4,4.8,6.1,32
Washington,Kittitas,"40,631","42,445","45,267",33,4.5,6.6,30
Washington,Klickitat,"47,162","47,985","51,973",15,1.7,8.3,14
Washington,Lewis,"41,618","44,091","47,752",27,5.9,8.3,15
Washington,Lincoln,"42,278","44,794","50,851",18,6.0,13.5,5
Washington,Mason,"41,071","42,663","45,901",31,3.9,7.6,19
Washington,Okanogan,"40,576","41,383","47,535",28,2.0,14.9,4
Washington,Pacific,"39,833","40,880","43,749",35,2.6,7.0,24
Washington,Pend Oreille,"41,148","43,497","46,571",30,5.7,7.1,23
Washington,Pierce,"49,928","52,496","56,532",12,5.1,7.7,17
Washington,San Juan,"77,422","79,117","81,858",2,2.2,3.5,39
Washington,Skagit,"50,703","53,221","57,315",9,5.0,7.7,16
Washington,Skamania,"44,868","46,587","49,519",22,3.8,6.3,31
Washington,Snohomish,"54,934","57,900","62,267",3,5.4,7.5,20
Washington,Spokane,"45,209","46,902","50,038",19,3.7,6.7,29
Washington,Stevens,"38,084","39,894","42,740",38,4.8,7.1,22
Washington,Thurston,"49,483","52,010","56,007",13,5.1,7.7,18
Washington,Wahkiakum,"42,286","44,014","47,027",29,4.1,6.8,27
Washington,Walla Walla,"44,521","46,648","51,767",16,4.8,11.0,9
Washington,Whatcom,"47,898","49,868","52,787",14,4.1,5.9,34
Washington,Whitman,"38,953","40,682","44,628",34,4.4,9.7,11
Washington,Yakima,"41,740","43,910","49,099",24,5.2,11.8,6
West Virginia,Barbour,"32,717","33,642","35,878",43,2.8,6.6,29
West Virginia,Berkeley,"41,932","42,738","45,610",14,1.9,6.7,27
West Virginia,Boone,"35,438","36,504","39,493",33,3.0,8.2,14
West Virginia,Braxton,"31,967","32,756","34,972",49,2.5,6.8,25
West Virginia,Brooke,"42,285","45,144","49,579",6,6.8,9.8,3
West Virginia,Cabell,"43,312","43,890","46,805",11,1.3,6.6,30
West Virginia,Calhoun,"30,232","31,409","34,734",51,3.9,10.6,2
West Virginia,Clay,"31,852","32,849","35,702",44,3.1,8.7,9
West Virginia,Doddridge,"29,661","30,716","32,085",54,3.6,4.5,45
West Virginia,Fayette,"34,761","36,763","38,680",35,5.8,5.2,37
West Virginia,Gilmer,"28,573","29,646","31,020",55,3.8,4.6,44
West Virginia,Grant,"35,827","37,173","40,571",28,3.8,9.1,7
West Virginia,Greenbrier,"37,797","38,431","40,759",27,1.7,6.1,33
West Virginia,Hampshire,"35,988","37,548","39,802",32,4.3,6.0,35
West Virginia,Hancock,"42,451","43,962","47,007",10,3.6,6.9,22
West Virginia,Hardy,"34,094","35,261","38,269",37,3.4,8.5,11
West Virginia,Harrison,"49,131","50,174","52,124",4,2.1,3.9,50
West Virginia,Jackson,"38,444","39,001","41,622",22,1.4,6.7,26
West Virginia,Jefferson,"50,426","52,345","54,836",2,3.8,4.8,41
West Virginia,Kanawha,"48,396","49,760","52,969",3,2.8,6.4,32
West Virginia,Lewis,"41,060","42,121","43,634",19,2.6,3.6,52
West Virginia,Lincoln,"31,559","32,449","35,309",45,2.8,8.8,8
West Virginia,Logan,"37,030","38,173","41,110",26,3.1,7.7,17
West Virginia,McDowell,"30,346","31,832","34,918",50,4.9,9.7,4
West Virginia,Marion,"42,577","43,660","45,684",13,2.5,4.6,43
West Virginia,Marshall,"42,428","42,781","44,092",17,0.8,3.1,53
West Virginia,Mason,"33,660","34,772","37,641",38,3.3,8.3,13
West Virginia,Mercer,"37,695","38,645","41,372",23,2.5,7.1,20
West Virginia,Mineral,"40,939","42,421","45,193",16,3.6,6.5,31
West Virginia,Mingo,"32,383","33,405","35,115",47,3.2,5.1,39
West Virginia,Monongalia,"46,013","46,873","48,802",7,1.9,4.1,47
West Virginia,Monroe,"30,964","32,450","35,005",48,4.8,7.9,15
West Virginia,Morgan,"35,331","36,769","39,311",34,4.1,6.9,23
West Virginia,Nicholas,"34,044","34,768","37,492",40,2.1,7.8,16
West Virginia,Ohio,"63,476","59,708","61,452",1,-5.9,2.9,55
West Virginia,Pendleton,"36,211","37,419","40,054",31,3.3,7.0,21
West Virginia,Pleasants,"44,001","44,380","46,074",12,0.9,3.8,51
West Virginia,Pocahontas,"38,262","40,325","43,810",18,5.4,8.6,10
West Virginia,Preston,"37,043","38,023","40,563",29,2.6,6.7,28
West Virginia,Putnam,"47,071","48,125","50,363",5,2.2,4.7,42
West Virginia,Raleigh,"41,837","43,486","45,356",15,3.9,4.3,46
West Virginia,Randolph,"37,015","38,276","41,194",25,3.4,7.6,18
West Virginia,Ritchie,"38,146","39,683","42,068",21,4.0,6.0,34
West Virginia,Roane,"35,593","36,739","40,224",30,3.2,9.5,6
West Virginia,Summers,"33,622","35,079","37,181",42,4.3,6.0,36
West Virginia,Taylor,"41,082","42,204","43,460",20,2.7,3.0,54
West Virginia,Tucker,"42,217","43,058","47,175",9,2.0,9.6,5
West Virginia,Tyler,"38,348","39,583","41,195",24,3.2,4.1,49
West Virginia,Upshur,"33,500","35,506","37,337",41,6.0,5.2,38
West Virginia,Wayne,"34,077","35,180","37,566",39,3.2,6.8,24
West Virginia,Webster,"28,264","29,556","33,320",53,4.6,12.7,1
West Virginia,Wetzel,"37,034","36,631","38,428",36,-1.1,4.9,40
West Virginia,Wirt,"32,758","32,847","35,205",46,0.3,7.2,19
West Virginia,Wood,"44,215","46,650","48,566",8,5.5,4.1,48
West Virginia,Wyoming,"30,842","30,959","33,534",52,0.4,8.3,12
Wisconsin,Adams,"39,259","41,511","44,159",70,5.7,6.4,30
Wisconsin,Ashland,"40,167","41,742","44,520",69,3.9,6.7,26
Wisconsin,Barron,"49,055","49,873","53,179",23,1.7,6.6,28
Wisconsin,Bayfield,"48,635","50,299","53,369",22,3.4,6.1,38
Wisconsin,Brown,"52,451","53,516","56,093",10,2.0,4.8,53
Wisconsin,Buffalo,"45,528","46,256","50,518",37,1.6,9.2,5
Wisconsin,Burnett,"43,807","45,431","48,574",51,3.7,6.9,24
Wisconsin,Calumet,"50,971","53,076","55,460",12,4.1,4.5,59
Wisconsin,Chippewa,"46,009","47,360","50,639",36,2.9,6.9,23
Wisconsin,Clark,"40,816","42,504","46,154",59,4.1,8.6,9
Wisconsin,Columbia,"51,029","53,511","56,134",9,4.9,4.9,51
Wisconsin,Crawford,"41,757","42,894","46,113",60,2.7,7.5,17
Wisconsin,Dane,"61,221","63,683","66,094",4,4.0,3.8,67
Wisconsin,Dodge,"44,208","45,654","48,547",52,3.3,6.3,32
Wisconsin,Door,"62,357","63,882","66,516",3,2.4,4.1,62
Wisconsin,Douglas,"42,719","44,251","45,962",62,3.6,3.9,66
Wisconsin,Dunn,"39,962","41,212","44,626",67,3.1,8.3,11
Wisconsin,Eau Claire,"48,094","49,728","52,141",29,3.4,4.9,52
Wisconsin,Florence,"53,044","58,498","56,604",8,10.3,-3.2,72
Wisconsin,Fond du Lac,"48,245","49,922","52,813",26,3.5,5.8,43
Wisconsin,Forest,"41,448","42,304","44,657",66,2.1,5.6,46
Wisconsin,Grant,"43,179","45,387","49,410",47,5.1,8.9,6
Wisconsin,Green,"50,868","53,359","56,620",7,4.9,6.1,37
Wisconsin,Green Lake,"44,699","45,595","47,898",57,2.0,5.1,50
Wisconsin,Iowa,"47,492","49,905","53,603",20,5.1,7.4,19
Wisconsin,Iron,"48,820","49,719","53,164",24,1.8,6.9,22
Wisconsin,Jackson,"46,006","45,571","49,528",46,-0.9,8.7,7
Wisconsin,Jefferson,"45,664","47,176","49,591",44,3.3,5.1,49
Wisconsin,Juneau,"38,320","39,769","42,620",71,3.8,7.2,20
Wisconsin,Kenosha,"46,964","48,550","51,229",30,3.4,5.5,47
Wisconsin,Kewaunee,"46,314","48,461","52,638",27,4.6,8.6,8
Wisconsin,La Crosse,"49,776","52,166","54,532",18,4.8,4.5,57
Wisconsin,Lafayette,"42,165","43,632","48,891",48,3.5,12.1,1
Wisconsin,Langlade,"43,091","44,288","48,036",56,2.8,8.5,10
Wisconsin,Lincoln,"45,787","47,030","50,216",39,2.7,6.8,25
Wisconsin,Manitowoc,"46,608","47,911","50,829",34,2.8,6.1,39
Wisconsin,Marathon,"50,246","52,203","55,136",15,3.9,5.6,45
Wisconsin,Marinette,"45,138","46,320","49,557",45,2.6,7.0,21
Wisconsin,Marquette,"41,156","42,561","45,391",64,3.4,6.6,27
Wisconsin,Menominee,"30,513","33,696","35,082",72,10.4,4.1,63
Wisconsin,Milwaukee,"46,792","48,107","51,002",31,2.8,6.0,41
Wisconsin,Monroe,"41,307","42,274","45,741",63,2.3,8.2,12
Wisconsin,Oconto,"45,795","47,227","50,060",40,3.1,6.0,42
Wisconsin,Oneida,"50,951","51,928","54,861",17,1.9,5.6,44
Wisconsin,Outagamie,"50,946","52,654","54,862",16,3.4,4.2,61
Wisconsin,Ozaukee,"82,753","85,526","87,395",1,3.4,2.2,71
Wisconsin,Pepin,"48,136","49,529","54,316",19,2.9,9.7,4
Wisconsin,Pierce,"45,576","46,871","48,775",50,2.8,4.1,64
Wisconsin,Polk,"46,306","47,751","50,730",35,3.1,6.2,35
Wisconsin,Portage,"45,017","46,771","49,815",42,3.9,6.5,29
Wisconsin,Price,"45,723","46,903","49,837",41,2.6,6.3,34
Wisconsin,Racine,"49,191","50,729","53,094",25,3.1,4.7,55
Wisconsin,Richland,"42,817","44,179","48,516",53,3.2,9.8,3
Wisconsin,Rock,"43,868","46,018","48,836",49,4.9,6.1,36
Wisconsin,Rusk,"44,291","44,799","48,292",55,1.1,7.8,14
Wisconsin,St. Croix,"56,083","57,688","59,602",6,2.9,3.3,68
Wisconsin,Sauk,"48,884","53,842","55,166",13,10.1,2.5,70
Wisconsin,Sawyer,"45,144","47,730","50,276",38,5.7,5.3,48
Wisconsin,Shawano,"42,354","43,635","47,067",58,3.0,7.9,13
Wisconsin,Sheboygan,"52,880","53,217","55,616",11,0.6,4.5,58
Wisconsin,Taylor,"39,501","41,631","46,070",61,5.4,10.7,2
Wisconsin,Trempealeau,"44,521","44,875","48,324",54,0.8,7.7,15
Wisconsin,Vernon,"40,897","41,863","44,976",65,2.4,7.4,18
Wisconsin,Vilas,"53,903","52,739","55,140",14,-2.2,4.6,56
Wisconsin,Walworth,"49,623","51,156","53,546",21,3.1,4.7,54
Wisconsin,Washburn,"47,250","48,761","52,457",28,3.2,7.6,16
Wisconsin,Washington,"58,412","59,878","62,506",5,2.5,4.4,60
Wisconsin,Waukesha,"71,918","73,883","75,958",2,2.7,2.8,69
Wisconsin,Waupaca,"45,560","46,735","49,711",43,2.6,6.4,31
Wisconsin,Waushara,"40,914","42,055","44,594",68,2.8,6.0,40
Wisconsin,Winnebago,"47,644","48,943","50,840",33,2.7,3.9,65
Wisconsin,Wood,"46,184","47,911","50,929",32,3.7,6.3,33
Wyoming,Albany,"40,550","41,332","43,148",22,1.9,4.4,8
Wyoming,Big Horn,"38,806","39,580","43,939",21,2.0,11.0,2
Wyoming,Campbell,"53,796","54,143","53,932",14,0.6,-0.4,19
Wyoming,Carbon,"56,937","56,227","59,028",7,-1.2,5.0,6
Wyoming,Converse,"56,425","65,959","64,373",4,16.9,-2.4,22
Wyoming,Crook,"46,760","45,957","47,752",18,-1.7,3.9,10
Wyoming,Fremont,"45,220","46,191","48,350",17,2.1,4.7,7
Wyoming,Goshen,"41,904","42,398","44,562",20,1.2,5.1,5
Wyoming,Hot Springs,"54,305","64,515","67,005",3,18.8,3.9,11
Wyoming,Johnson,"53,360","54,662","56,748",8,2.4,3.8,12
Wyoming,Laramie,"52,224","53,532","55,094",10,2.5,2.9,15
Wyoming,Lincoln,"43,215","45,700","48,449",16,5.8,6.0,4
Wyoming,Natrona,"71,185","70,054","68,447",2,-1.6,-2.3,21
Wyoming,Niobrara,"50,884","48,846","55,291",9,-4.0,13.2,1
Wyoming,Park,"57,010","58,021","59,827",6,1.8,3.1,14
